Nick;Platforma;Ocena;Data1;Godzina2;LiczbaKomentarzy;Tresc
Adam Kaminski;Opineo;3,8;2022-06-07;14:25;37,00;Swietne miejsce pracy z duzymi mozliwosciami.
Tomasz Wojcik;Facebook;4,5;2023-11-30;12:50;45,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Maria Nowak;Opineo;4,2;2023-08-25;10:15;17,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Tomasz Wojcik;Opineo;4,3;2022-11-03;9:40;42,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Anonimowy uzytkownik;Facebook;3,2;2023-08-06;13:30;40,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Maria Nowak;Facebook;3,7;2022-03-23;16:20;36,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Adam Kaminski;Google;4,7;2022-04-10;14:50;42,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Anonimowy uzytkownik;Opineo;5,0;2022-05-02;11:15;18,00;Polecam, choc czasami dostawy sa opoznione.
Adam Kaminski;Ceneo;4,1;2022-12-29;15:35;32,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Anonimowy uzytkownik;Facebook;4,4;2023-07-17;7:40;1,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Jan Kowalski;Facebook;4,0;2023-06-19;12:05;40,00;Firma zapewnia dobre warunki pracy, ale procesy moglyby byc bardziej zoptymalizowane.
Tomasz Wojcik;Google;3,8;2022-08-22;10:40;18,00;Jestem zadowolony z produktow, choc czas dostawy moglby byc krotszy.
Piotr Kaczmarek;Facebook;4,2;2023-10-03;9:25;4,00;Profesjonalne podejscie do klienta, wszystko odbylo sie sprawnie.
Piotr Kaczmarek;Facebook;3,7;2023-02-08;13:45;30,00;Obsluga klienta bardzo pomocna, ale ceny sa dosc wysokie.
Anonimowy uzytkownik;Ceneo;3,7;2022-09-16;8:55;29,00;Swietne miejsce pracy z duzymi mozliwosciami.
Joanna Lewandowska;Google;4,4;2022-06-05;12:20;50,00;Produkty firmy Fabryka Danfoss w Tuchomie charakteryzuja sie wysoka jakoscia i sa niezawodne. Obsluga klienta bardzo pomocna. Polecam!
Anonimowy uzytkownik;Google;5,0;2023-12-30;10:35;3,00;Produkty Danfoss sa niezawodne, ale obsluga magazynowa moglaby byc szybsza.
Tomasz Wojcik;Google;3,8;2022-09-28;15:30;21,00;Dobre doswiadczenia z systemem chlodzenia, ale czasami brakuje wsparcia technicznego.
Jan Kowalski;Ceneo;4,1;2023-03-26;14:35;46,00;Zawsze moglem liczyc na pomoc ze strony obslugi klienta.
Magdalena Szymanska;Opineo;3,8;2023-05-21;12:00;20,00;Zakupy w Danfoss to gwarancja jakosci, chociaz ceny sa wyzsze niz u konkurencji.
Piotr Kaczmarek;Google;3,9;2022-11-15;13:00;38,00;Dobra firma, ale potrzebuja poprawy w zakresie logistyki.
Krzysztof Zielinski;Google;4,3;2023-10-01;7:15;49,00;Polecam, choc czasami dostawy sa opoznione.
Adam Kaminski;Google;4,0;2023-03-09;11:45;5,00;Zespol jest profesjonalny, ale brakuje im odpowiednich zasobow.
Anonimowy uzytkownik;Opineo;3,9;2023-05-17;15:05;11,00;Pozytywne doswiadczenie, jednak chcialbym, zeby firma bardziej inwestowala w innowacje.
Joanna Lewandowska;Facebook;4,5;2022-07-25;8:25;22,00;Jakosc produktow Danfoss stoi na wysokim poziomie, ale obsluga klienta wymaga poprawy.
Tomasz Wojcik;Google;3,6;2023-06-28;14:10;35,00;Zakupilem produkty w Danfoss i jestem zadowolony z ich dzialania, ale czas oczekiwania na wysylke moglby byc krotszy.
Krzysztof Zielinski;Facebook;3,7;2023-12-23;13:15;27,00;Firma dobrze zarzadza swoimi procesami, ale zbyt rzadko organizuja promocje.
Joanna Lewandowska;Opineo;4,0;2023-08-02;16:25;36,00;Dobre wsparcie techniczne, ale nie zawsze latwo jest sie z nimi skontaktowac.
Piotr Kaczmarek;Ceneo;3,3;2022-09-13;9:55;27,00;Czasami mam problemy z dostawa, ale produkty sa solidne.
Anonimowy uzytkownik;Opineo;3,4;2023-01-24;12:30;47,00;Produkty sa dobre, ale niektore z nich sa trudne do zainstalowania.
Anonimowy uzytkownik;Ceneo;3,6;2022-12-05;10:45;22,00;Obsluga na poziomie, ale niektore zamowienia mialy problem z realizacja.
Tomasz Wojcik;Facebook;4,5;2023-06-17;11:30;11,00;Firma oferuje solidne rozwiazania, ale nie zawsze reaguja szybko na zapytania.
Krzysztof Zielinski;Ceneo;3,8;2023-11-13;14:05;38,00;Wysoka jakosc, ale czas oczekiwania na odpowiedz od dzialu obslugi jest zbyt dlugi.
Joanna Lewandowska;Opineo;4,6;2022-07-30;13:05;16,00;Dobre produkty, ale mogliby poprawic komunikacje z klientami.
Piotr Kaczmarek;Ceneo;4,2;2023-09-02;8:45;20,00;Firma oferuje innowacyjne rozwiazania, ale czekanie na nie jest czasem zbyt dlugie.
Anonimowy uzytkownik;Ceneo;3,8;2022-02-18;10:10;18,00;Jakosc produktow jest swietna, ale firma moglaby oferowac wiecej informacji o swoich produktach.
Anonimowy uzytkownik;Ceneo;4,5;2023-11-09;12:50;15,00;Profesjonalna obsluga, ale mogloby byc wiecej szkolen dla pracownikow.
Tomasz Wojcik;Ceneo;4,3;2023-12-01;13:15;40,00;Ceny sa nieco wysokie, ale jakosc produktow rekompensuje ten koszt.
Krzysztof Zielinski;Opineo;3,8;2023-02-10;7:55;10,00;Bardzo pozytywne doswiadczenie, choc czas oczekiwania na odpowiedz byl dlugi.
Joanna Lewandowska;Ceneo;4,6;2022-03-07;9:35;22,00;Firma bardzo solidna, ale dostepnosc niektorych produktow jest ograniczona.
Piotr Kaczmarek;Ceneo;4,0;2022-08-26;11:20;27,00;Produkty Danfoss sa na najwyzszym poziomie, ale firma moglaby lepiej zarzadzac czasem dostawy.
Anonimowy uzytkownik;Ceneo;4,6;2022-12-28;15:00;10,00;Dobre podejscie do klienta, ale czasami trzeba czekac na produkty dluzej, niz sie spodziewam.
Anonimowy uzytkownik;Opineo;4,5;2023-07-23;13:40;24,00;Duza roznorodnosc produktow, ale ceny sa troche za wysokie.
Tomasz Wojcik;Ceneo;4,8;2023-01-02;10:25;47,00;Firma oferuje doskonala jakosc, jednak czas realizacji zamowien moglby byc krotszy.
Krzysztof Zielinski;Google;5,0;2022-10-25;14:20;33,00;Obsluga klienta bardzo pomocna, ale niektore procesy wewnetrzne wymagaja usprawnienia.
Joanna Lewandowska;Facebook;5,0;2023-02-04;9:10;42,00;Produkty sa dobre, ale czasami trudno sie z nimi skontaktowac.
Piotr Kaczmarek;Ceneo;4,2;2023-08-17;12:40;29,00;Solidna firma, ale niektore produkty sa trudne do zamowienia.
Anonimowy uzytkownik;Ceneo;3,4;2022-07-06;7:25;35,00;Zadowolony z jakosci, ale proces zamowienia moglby byc latwiejszy.
Anonimowy uzytkownik;Opineo;4,0;2022-10-14;11:35;22,00;Produkty Danfoss sa godne polecenia, ale czas dostawy bywa rozny.
Tomasz Wojcik;Opineo;4,4;2023-03-05;13:00;37,00;Firma oferuje wysoka jakosc, ale czas oczekiwania na realizacje zamowienia jest czasami dlugi.
